,예측 값,실제값
0,187.144722158,129.22890287054216
1,107.59646694800001,97.67966242639329
2,73.231816149,0.802
3,75.39278560999999,0.802
4,80.419554956,0.802
5,117.312389368,122.6903368842819
6,438.8312220699999,352.52074041342587
7,754.1346771890001,672.2925382563132
8,1004.963864377,1224.8596846234734
9,1178.358894221,1765.286930134219
10,1575.3551984080002,1786.3638037684798
11,1723.3553717010002,1852.5420757921372
12,1678.7448304499999,2055.8799734072954
13,2188.642956103,2111.6643705874094
14,2029.1300777379988,2027.986635187963
15,2177.160180756,2223.287411301147
16,1714.7321787520007,2241.01480053202
17,1677.8145374620005,2320.165928449497
18,1547.4492877559996,2022.6091804889647
19,1746.0000809880003,1748.3708429845176
20,1188.9422383150002,1475.8187009559824
21,929.717694307,1172.7010179831093
22,647.47047626,798.2747368959555
23,586.0232628479997,528.362147213685
24,326.27711367300003,199.2863304940707
25,124.453741057,106.76517163492444
26,56.98163794800001,0.802
27,59.996360147999994,0.802
28,155.53407315799998,0.802
29,242.71335580099995,75.56952254152368
30,429.39655044000006,397.58780747090026
31,737.5389721120004,548.6061797734687
32,1369.6631198320001,1257.5849370076603
33,1667.3282954450005,1693.481966489029
34,1985.1335359970003,1769.6451004092812
35,1834.3157502630002,1714.3680661825845
36,1862.9839493739998,1937.3564774308877
37,1939.1900231730012,1865.2996557158297
38,1992.750880192001,2096.1531044455187
39,2137.144515805001,2161.770678865669
40,2497.5129677080004,2150.20868401482
41,2668.346424926,2207.582408182435
42,2406.853806416,2072.0725099300325
43,1649.238687046001,1532.5465972132167
44,905.2266243820001,1526.6771645560195
45,620.666611142,1029.155365783863
46,351.390678202,699.4926969688711
47,330.9183446350001,464.7933413234214
48,225.964411323,207.77608425350996
49,39.836341463,96.47777377912018
50,51.51463414999999,0.802
51,11.479578713999999,0.802
52,144.543476541,5.725835949941668
53,57.629898012,115.19379140642036
54,171.58603008299994,470.4077534395114
55,483.432563784,680.7669355112661
56,1273.444623311,1281.9674193182054
57,1575.5928975880004,1613.0185554609056
58,1544.4519047839995,1926.2952356836581
59,1469.5575648120005,1944.292944978661
60,1697.5880766880002,2187.7847684098333
61,1216.8132644589998,2125.0148996231032
62,1312.3802617919998,2386.593779284471
63,1556.5684008160001,2218.541767072442
64,2101.311716485999,2264.8920851847715
65,2740.696568696999,2300.5720543913403
66,2169.568254591,2108.094367919228
67,2120.3296226230004,1652.835037048468
68,1543.923982318,1514.1778246261372
69,1170.962318681,1092.4957329858687
70,970.611310296,830.7702400182177
71,628.2769892030001,555.3151773178681
72,415.98921535100004,141.0365163209763
73,155.17655277400002,91.38061802309451
74,71.552153986,0.802
75,118.645777003,0.802
76,182.870023442,0.802
77,198.48446113,119.28476847517743
78,595.1856657640001,352.6785790680716
79,1277.7560385159998,650.6184419002682
80,1598.572152682,1223.940801538702
81,2081.1344302350003,1765.3848242889776
82,1890.04474562,1843.6002026084068
83,1698.4667628680004,1884.561897654839
84,2246.4425156179996,2031.3328146664521
85,2012.9842257010002,2118.489838243757
86,1950.983400901,2064.0196615440573
87,2303.58824102,2246.4891237194292
88,2445.9406503270015,2240.2013331552253
89,2697.7726761790022,2332.5607643748235
90,2269.826012157999,2019.3610091281619
91,1775.7908548619998,1718.2291301677085
92,1716.2986095679998,1462.123661990329
93,1263.9323116010007,1143.573119369714
94,850.6885397150002,771.2259779326371
95,537.221206626,542.6580557148037
96,336.50930292699996,414.7398263713455
97,179.595998559,103.31058492161098
98,144.892597405,0.802
99,61.376055261,0.802
100,186.173947272,29.738131058415323
101,325.66425539100004,101.69773883493833
102,623.1099950380001,310.52052969903514
103,780.2938759689996,605.1336152411567
104,1573.659935604,1067.4225213714915
105,1919.0920176199998,1598.7350119374253
106,1610.8952834119998,1674.6690803733181
107,2023.260297868001,1778.4344911959604
108,2144.2178027950013,1791.840064325657
109,2005.1614930470002,1858.7688961901063
110,2135.4616706100005,1924.6769621125613
111,2317.985279972,1869.126074970981
112,2254.5509767290005,1947.7542270139675
113,2460.0182639449995,1981.8127316874686
114,2357.8722827170022,1886.3182942941166
115,1974.3954901230002,1455.5258922632106
116,1424.2778353819997,1275.0602402428106
117,1350.286585673,914.2040377712602
118,1048.3560602870002,659.2444098488521
119,457.35325171500006,526.5441536120708
120,185.45754175900004,260.4789808543511
121,148.38121634399997,99.46374493438081
122,146.491524654,6.277450351989211
123,24.619906188,0.802
124,89.874530966,0.802
125,156.034618717,179.9635457498049
126,369.28821802999994,345.1662568474285
127,657.33853427,644.7455903552448
128,1083.4292084379995,1342.3082822673048
129,1800.1145460380005,1712.5338328637956
130,2071.076383263001,1811.3961026918696
131,2112.5838513010003,1870.2445071418786
132,2115.221733920001,1990.568959262233
133,2097.0519553730005,2172.3386890624965
134,2355.8733462550003,2238.374279500871
135,2470.931062869999,2360.0604746424256
136,2547.848638425001,2261.432170704595
137,2491.920943780999,2173.3324457906633
138,2400.054158611999,1899.5460852568476
139,1986.1507571550005,1694.2922429038529
140,1429.318874571,1457.4760258793099
141,1129.8245585859997,1048.7681576879916
142,779.788134491,741.5013694306318
143,602.0543119029999,596.7256583729608
144,347.18023595200015,353.06243469876506
145,246.95686917300003,208.69046580264344
146,256.397625403,0.802
147,141.417009119,0.802
148,95.458444787,52.815816198116785
