±¸ºÐ,¿¬µµ,ÀÏÀÚ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2019,1012,24,0,0,0,0,0,0,0,0,0,0,11.3,11.3,27.53833333,28.71333333,0,0,0,0,0,0,0,0,0,0,78.85166667
Ç³·Â,2019,1014,25,0,0,0,0,0,0,0,0,0,0,0,19.61666667,39,35.75,11.05,0,0,0,0,0,0,0,0,0,105.4166667
Ç³·Â,2019,1015,26,0,7,11.5,8.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33333333
Ç³·Â,2019,1019,27,0,0,0,0,0,0,0,0,0,0,0,11.48333333,38.8,37.78333333,12.33666667,0,0,0,0,0,0,0,0,0,100.4033333
Ç³·Â,2019,1026,28,0,0,0,0,0,0,0,0,25.85,59.7,91.25,110.6166667,147,156,64.91666667,0,0,0,0,0,0,0,0,0,655.3333333
Ç³·Â,2019,1027,29,0,0,0,0,0,0,0,0,0,12.84166667,39.5,49.63333333,65.96666667,31.9,0,0,0,0,0,0,0,0,0,0,199.8416667
Ç³·Â,2019,118,30,0,0,0,0,0,0,0,0,0,3.933333333,32.7,67.13333333,79,73.13333333,54.4,30.11666667,1.65,0,0,0,0,0,0,0,342.0666667
Ç³·Â,2019,119,31,0,0,0,0,0,0,0,0,0,36.53833333,69.23333333,101.5666667,101.9,91.77333333,26.35,0,0,0,0,0,0,0,0,0,427.3616667
Ç³·Â,2019,1111,32,0,0,0,0,0,0,0,0,0,0,0,0,16.05666667,17.78333333,16.7,3.506666667,0,0,0,0,0,0,0,0,54.04666667
Ç³·Â,2019,1114,33,0,14.25,15,15,2.75,0,0,0,3.4,14.26666667,11.66666667,36.08333333,98.66666667,99,71.08333333,0,0,0,0,0,0,0,0,0,381.1666667
Ç³·Â,2019,1117,34,0,0,0,0,0,0,0,0,0,5.7,53.875,103.525,91.31666667,69.74666667,24.04166667,0,0,0,0,0,0,0,0,0,348.205
Ç³·Â,2019,1119,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6.833333333,29.16666667,30,16.66666667,0,0,0,0,0,0,0,82.66666667
Ç³·Â,2019,1125,36,4.333333333,24,25,25,25,25,2.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.75
Ç³·Â,2019,1128,37,0,0,0,0,0,0,0,0,0,0,0,11.73666667,46.49166667,47.55333333,0,0,0,0,0,0,0,0,0,0,105.7816667
Ç³·Â,2019,1129,38,0,0,0,0,0,0,0,0,0,0,0.4,26.98333333,57.75,51,40.33333333,23.2,0,0,0,0,0,0,0,0,199.6666667
Ç³·Â,2019,1202,39,0,0,0,0,0,0,0,0,0,0,0,0,14.9,26.3,8.5,0,0,0,0,0,0,0,0,0,49.7
Ç³·Â,2019,1205,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.833333333,2.933333333,0,0,0,0,0,0,0,0,0,7.766666667
Ç³·Â,2019,1207,41,0,0,0,0,0,0,0,0,0,0,0,23.81666667,79.3,108.1666667,35.88333333,0,0,0,0,0,0,0,0,0,247.1666667
Ç³·Â,2019,1212,42,0,0,16.425,30.64166667,45.75,43.55833333,3.116666667,0,0,0,0,0.166666667,24,25,24.08333333,2.166666667,0,0,0,0,0,0,0,0,214.9083333
Ç³·Â,2019,1214,43,0,0,0,0,0,0,0,0,0,0,0,19.55,83.7,74.03333333,53.58333333,0.616666667,0,0,0,0,0,0,0,0,231.4833333
Ç³·Â,2019,1217,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91666667,9.016666667,0,0,0,0,0,0,20.93333333
Ç³·Â,2019,1218,45,39.45,69,81.13333333,83,78.01666667,60.43333333,24.8,0.933333333,0,0,0,60.26666667,102.5,89.38333333,70.19166667,19.3,0,0,0,0,0,0,0,0,778.4083333
Ç³·Â,2019,1219,46,0,0,0,0,0,0,0,0,0,0,0,0,22.33333333,13.5,0,0,0,0,0,0,0,0,0,0,35.83333333
Ç³·Â,2020,101,1,0,0,0,0,0,0,0,0,0,0,0,9,27.06666667,7.333333333,0,0,0,0,0,0,0,0,0,0,43.4
Ç³·Â,2020,104,2,0,0,0,0,0,0,0,0,0,0,0,0,22.18333333,46,37.18333333,11.88333333,0,0,0,0,0,0,0,0,117.25
Ç³·Â,2020,112,3,0,0,0,0,0,0,0,0,0,0,0,0,11.66666667,0,1.666666667,0,0,0,0,0,0,0,0,0,13.33333333
Ç³·Â,2020,117,4,0,0,0,0,0,0,0,0,0,0,0,2.333333333,20,20,1.333333333,0,0,0,0,0,0,0,0,0,43.66666667
Ç³·Â,2020,118,5,0,0,0,0,0,0,0,0,0,0,9.558333333,28.3,62.75,65.5,18.625,0,0,0,0,0,0,0,0,0,184.7333333
Ç³·Â,2020,120,6,0,0,0,0,0,0,0,0,0,0,0,3.166666667,20,16.5,0,0,0,0,0,0,0,0,0,0,39.66666667
Ç³·Â,2020,205,7,0,0,0,0,0,0,0,0,0,0,0,0,20.91666667,25,15.41666667,0,0,0,0,0,0,0,0,0,61.33333333
Ç³·Â,2020,218,8,0,0,0,0,0,0,0,0,0,0,0,0,10.46666667,55.28333333,54,24.46666667,0,0,0,0,0,0,0,0,144.2166667
Ç³·Â,2020,221,9,0,0,0,0,0,0,0,0,0,0,0,22.80166667,45.8,5.605,0,0,0,0,0,0,0,0,0,0,74.20666667
Ç³·Â,2020,222,10,0,0,0,0,0,7.513333333,13.4,0,0,16.14666667,36.8,70.83333333,97.9,97.9,41.40333333,4.45,0,0,0,0,0,0,0,0,386.3466667
Ç³·Â,2020,224,11,0,0,0,0,0,0,0,0,0,0,0,0,7.7,2.216666667,7.166666667,2.833333333,0,0,0,0,0,0,0,0,19.91666667
Ç³·Â,2020,302,12,0,0,0,0,0,0,0,0,0,47.73333333,67,125.2833333,153,151.6166667,115.4166667,78.98333333,15.98333333,0,0,0,0,0,0,0,755.0166667
Ç³·Â,2020,304,13,0,0,0,0,0,0,0,0,0,0,25.35833333,85.2,112.15,128.4833333,103.85,58.5,27.60833333,0,0,0,0,0,0,0,541.15
Ç³·Â,2020,305,14,0,0,0,0,0,0,0,0,0,0,0,52.13333333,90.71666667,109,104,62,4.15,0,0,0,0,0,0,0,422
Ç³·Â,2020,311,15,0,0,0,0,0,0,0,0,0.324,8.573333333,39.22,71.47833333,93.73666667,102.52,102.52,88.92,52.72133333,0,0,0,0,0,0,0,560.0136667
Ç³·Â,2020,314,16,0,0,0,0,0,0,0,0,0,0,10.65,89.9,144.75,162.3666667,164,136.85,33.28333333,0,0,0,0,0,0,0,741.8
Ç³·Â,2020,315,17,0,0,0,0,0,0,0,0,0,3,47.53333333,104.3333333,113,102.0666667,97,80.68333333,17.36666667,0,0,0,0,0,0,0,564.9833333
Ç³·Â,2020,319,18,0,0,0,0,0,0,0,0,0,0,16.26,3.188333333,19.7,128.15,168.2,153.7,71.48333333,1.4,0,0,0,0,0,0,562.0816667
Ç³·Â,2020,321,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
