±¸ºÐ,¿¬µµ,ÀÏÀÚ,¿¬µµº° ½ÃÇàÈ¸Â÷,1½Ã,2½Ã,3½Ã,4½Ã,5½Ã,6½Ã,7½Ã,8½Ã,9½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,ÃÑÁ¦¾î·®
Ç³·Â,2021,113,1,0,0,0,0,0,0,0,0,0,0,0,0,12.46666667,28,24.7,0,0,0,0,0,0,0,0,0,65.16666667
Ç³·Â,2021,116,2,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,17.58333333,0,0,0,0,0,0,0,0,0,0,21.75
Ç³·Â,2021,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46666667,25.2,0,0,0,0,0,0,0,0,0,46.66666667
Ç³·Â,2021,119,4,0,0,0,0,0,0,0,0,0,0,0,0,12.99166667,22.475,0.633333333,0,0,0,0,0,0,0,0,0,36.1
Ç³·Â,2021,124,5,0,0,0,0,0,0,0,0,0,0,0,2.716666667,31.1,43.15,17.86666667,2.833333333,0,0,0,0,0,0,0,0,97.66666667
Ç³·Â,2021,127,6,0,0,0,0,0,0,0,0,0,0,0,0.195,0.3,3.913333333,3.803333333,0,0,0,0,0,0,0,0,0,8.211666667
Ç³·Â,2021,128,7,0,0,0,0,0,0,0,0,0,0,3.25,41.35,31.95833333,0,0,0,0,0,0,0,0,0,0,0,76.55833333
Ç³·Â,2021,129,8,0,0,0,0,0,0,0,0,0,0,0,0,0,45.34166667,26.18333333,0,0,0,0,0,0,0,0,0,71.525
Ç³·Â,2021,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.46,0,0,0,0,0,0,0,0,0,0.84
Ç³·Â,2021,202,10,0,0,0,0,0,0,0,0,0,0,0,28.75833333,62.82333333,77.74666667,32.95333333,0,0,0,0,0,0,0,0,0,202.2816667
Ç³·Â,2021,204,11,0,0,0,0,0,0,0,0,0,0,0,3.358333333,32.52166667,32.8,13.43,0,0,0,0,0,0,0,0,0,82.11
Ç³·Â,2021,208,12,0,0,0,0,0,0,0,0,0,0,6.738333333,87.24833333,143.385,149,148.9183333,91.76333333,19.64833333,0,0,0,0,0,0,0,646.7016667
Ç³·Â,2021,209,13,0,0,0,0,0,0,0,0,0,0,0,0.575,15.56666667,24.5,24.15,3.133333333,0,0,0,0,0,0,0,0,67.925
Ç³·Â,2021,213,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983333333,6.433333333,0.9,0,0,0,0,0,0,0,0,8.316666667
Ç³·Â,2021,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125,27.5,13.41666667,0,0,0,0,0,0,0,0,45.04166667
Ç³·Â,2021,220,16,0,0,0,0,0,0,0,0,0,0,0.036666667,40.49166667,72.93333333,88.16666667,74.68333333,8.55,0,0,0,0,0,0,0,0,284.8616667
Ç³·Â,2021,221,17,0,0,0,0,0,0,0,0,0,0,21.50666667,55.705,59,59,59,36.16333333,4.46,0,0,0,0,0,0,0,294.835
Ç³·Â,2021,222,18,0,0,0,0,0,0,0,0,0,0,0,13.82166667,43.54333333,39.89666667,1.121666667,0,0,0,0,0,0,0,0,0,98.38333333
Ç³·Â,2021,223,19,0,0,0,0,0,0,0,0,0,2.056666667,32.65166667,61.7,92.5,92.5,42.93333333,0,0,0,0,0,0,0,0,0,324.3416667
Ç³·Â,2021,302,20,0,0,0,0,0,0,0,0,0,0,0,29.35833333,72.8,67.8,53.5,25.44166667,0,0,0,0,0,0,0,0,248.9
Ç³·Â,2021,314,21,0,0,0,0,0,0,0,0,0,0,3.421666667,26.11333333,26.4,26.4,25.35833333,0.393333333,0,0,0,0,0,0,0,0,108.0866667
Ç³·Â,2021,315,22,0,0,0,0,0,0,0,0,0,0,0,0,12.56833333,18.10166667,0,0,0,0,0,0,0,0,0,0,30.67
