구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2020년05월05일,1690,1305.42,1168.7,655.64
2020년05월06일,1690,1307.2,1171.21,657.51
2020년05월07일,1670,1264.97,1135.35,633.52
2020년05월08일,1670,1260.31,1131.21,625.08
2020년05월09일,1670,1258.8,1129.1,619.89
2020년05월10일,1670,1258.11,1127.76,617.69
2020년05월11일,1670,1256.64,1125.35,615.91
2020년05월12일,1670,1256.57,1125.87,615.25
2020년05월13일,1670,1256.21,1126.18,613.98
2020년05월14일,1670,1256.2,1125.67,613.17
2020년05월15일,1670,1256.35,1125.7,613.78
2020년05월16일,1670,1255.82,1125.2,612.98
2020년05월17일,1670,1255.82,1125.46,613.17
2020년05월18일,1670,1256.39,1125.15,613.31
2020년05월19일,1670,1255.93,1124.76,612.75
2020년05월20일,1670,1256.08,1125.25,613.02
2020년05월21일,1670,1257.02,1126.08,613.88
2020년05월22일,1670,1257.79,1127.17,613.31
2020년05월23일,1670,1258.26,1127.37,614.81
2020년05월24일,1670,1258.1,1127.11,613.9
2020년05월25일,1670,1257.47,1127.42,614.67
2020년05월26일,1685,1314.76,1154.54,649.13
2020년05월27일,1685,1318.68,1157.3,658.47
2020년05월28일,1685,1318.68,1157.04,664.48
2020년05월29일,1685,1319.08,1157.23,664.7
2020년05월30일,1685,1318.97,1156.95,666.87
2020년05월31일,1685,1318.92,1157.11,666.81
2020년06월01일,1685,1318.82,1157.49,668.02
2020년06월02일,1700,1319.18,1157.9,668.84
2020년06월03일,1700,1319.03,1157.85,669.94
2020년06월04일,1700,1318.72,1158.52,670.5
2020년06월05일,1700,1318.92,1159.84,671.5
2020년06월06일,1700,1319.08,1160.23,672
2020년06월07일,1700,1319.08,1160.38,672.44
2020년06월08일,1700,1319.08,1160.46,672.78
2020년06월09일,1715,1360.68,1200.72,691.28
2020년06월10일,1715,1369.92,1205.75,705.33
2020년06월11일,1715,1371.81,1206.96,708.94
2020년06월12일,1715,1372.21,1206.96,712.33
2020년06월13일,1715,1372.19,1206.86,713.89
2020년06월14일,1715,1372.08,1206.94,715.33
2020년06월15일,1715,1372.99,1207.2,717.5
2020년06월16일,1705,1372.99,1207.2,720
2020년06월17일,1705,1372.68,1207.09,721.22
2020년06월18일,1735,1372.99,1207.31,720.89
2020년06월19일,1735,1372.99,1207.2,721.11
2020년06월20일,1735,1372.99,1207.4,722.72
2020년06월21일,1735,1372.99,1207.2,723.06
2020년06월22일,1735,1372.99,1207.25,723.02
2020년06월23일,1735,1373.2,1207.29,723.37
2020년06월24일,1735,1373.46,1207.41,722.87
2020년06월25일,1735,1373.46,1207.41,723.01
2020년06월26일,1735,1373.35,1207.18,722.83
2020년06월27일,1765,1373.35,1207.23,723.18
2020년06월28일,1765,1373.43,1207.31,722.83
2020년06월29일,1765,1373.43,1207.31,722.97
2020년06월30일,1765,1373.4,1207.19,722.56
2020년07월01일,1765,1373.24,1207.21,722.38
2020년07월02일,1765,1373.24,1207.06,722.74
2020년07월03일,1772.5,1373.24,1207.59,722.98
2020년07월04일,1772.5,1373.2,1207.68,722.71
2020년07월05일,1772.5,1373.27,1207.33,723.12
